,id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,production
59,201088,tt2717822,2.550747,70000000,17752940,Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,http://www.legendary.com/film/blackhat/,Michael Mann,We are no longer in control.,terrorist|technology|anti hero|hacker|computer virus,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,133,Mystery|Crime|Action|Thriller|Drama,Universal Pictures|Forward Pass|Legendary Pictures,2015-01-13,584,5.0,2015,64399971.664,16332697.6136,Universal Pictures
69,271718,tt3152624,2.31767,35000000,140795793,Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,,Judd Apatow,We All Know One.,alcohol|one-night stand,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy.",125,Comedy,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,2015-07-17,849,6.1,2015,32199985.832,129532072.566,Universal Pictures
91,274167,tt1528854,1.904898,50000000,240360392,Daddy's Home,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,http://daddyshomemovie.tumblr.com/,Sean Anders,Choose your Daddy,daddys home,"The story of a mild-mannered radio executive (Ferrell) who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids.",96,Comedy,Paramount Pictures|Gary Sanchez Productions|Good Universe|Red Granite Pictures,2015-12-25,568,5.7,2015,45999979.76,221131463.342,Paramount Pictures
102,241251,tt3181822,1.651078,4000000,50163103,The Boy Next Door,Jennifer Lopez|Ryan Guzman|Ian Nelson|John Corbett|Kristin Chenoweth,http://www.theboynextdoorfilm.com/,Rob Cohen,A Moment She Couldn't Resist. An Obsession He Can't Control.,male nudity|female nudity|sex|adultery|infidelity,"A recently cheated on married woman falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",91,Thriller,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment,2015-01-23,810,3.9,2015,3679998.3808,46150034.454,Universal Pictures
106,273477,tt1727776,1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner,http://www.scoutsandzombiesmovie.com/,Christopher B. Landon,Always bring protection.,female nudity|shotgun|nudity|strip club|party,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",93,Comedy|Horror,Paramount Pictures|Oops Doughnuts Productions|Broken Road Productions|Brucks Entertainment,2015-10-23,288,6.2,2015,13799993.928,13671898.7044,Paramount Pictures
110,287903,tt3850590,1.448002,15000000,61548707,Krampus,Adam Scott|Toni Collette|Allison Tolman|David Koechner|Emjay Anthony,http://www.krampusthefilm.com/,Michael Dougherty,You don't want to be on his list.,fire|winter|santa claus|snow storm|christmas tree,A horror comedy based on the ancient legend about a pagan creature who punishes children on Christmas.,98,Horror|Comedy|Fantasy,Universal Pictures|Legendary Pictures,2015-11-26,342,5.9,2015,13799993.928,56624785.5251,Universal Pictures
116,297291,tt3086386,1.38032,0,0,The Scorpion King: The Lost Throne,Victor Webster|Ellen Hollman|Barry Bostwick|Will Kemp|M. Emmet Walsh,,Mike Elliott,Action Adventure,magic|fantasy|steampunk|dragon,"When he is betrayed by a trusted friend, Mathayus must marshal all his strength and cunning to outwit a formidable opponent who will stop at nothing to unlock a supreme ancient power.",105,Action|Fantasy|Adventure,Universal Pictures,2015-01-09,22,4.5,2015,0.0,0.0,Universal Pictures
118,227719,tt2436386,1.360926,12000000,32248241,Project Almanac,Jonny Weston|Virginia Gardner|Sofia Black-D'Elia|Sam Lerner|Allen Evangelista,http://www.projectalmanac.com/,Dean Israelite,Today is better the second time around,time travel|time machine|teenager|found footage,"A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control.",106,Science Fiction|Thriller,Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures,2015-01-30,637,6.3,2015,11039995.1424,29668368.6659,Paramount Pictures
124,146301,tt2473510,1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,Chris J. Murray|Brit Shaw|Ivy George|Lauren Frandsen|Tyler Craig,,Gregory Plotkin,You can't save them. All you can do is watch.,terror|supernatural|sequel|demon|found footage,"Using a special camera that can see spirits, a family must protect their daughter from an evil entity with a sinister plan.",88,Horror|Thriller,Paramount Pictures|Blumhouse Productions,2015-10-21,267,5.0,2015,9199995.952,71851557.1453,Paramount Pictures
129,228165,tt2279373,1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Tom Kenny|Bill Fagerbakke|Rodger Bumpass|Clancy Brown|Carolyn Lawrence,http://www.spongebobmovie.com/,Paul Tibbitt,He's leaving his world behind.,ocean|sea|star|water|comedy,"Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes.",93,Family|Animation,Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment,2015-02-05,533,5.7,2015,68079970.0448,286666383.307,Paramount Pictures
211,243938,tt2637294,0.661163,14000000,12314651,Hot Tub Time Machine 2,Rob Corddry|Craig Robinson|Clark Duke|Adam Scott|Chevy Chase,,Steve Pink,The Laws of Space and Time are About to be Violated.,time travel|sequel|hot tub|duringcreditsstinger,"When Lou, who has become the ""father of the Internet,"" is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend.",93,Comedy,Paramount Pictures|Metro-Goldwyn-Mayer (MGM),2015-02-20,244,5.0,2015,12879994.3328,11329473.935,Paramount Pictures
287,266639,tt3614530,0.435582,5000000,2333684,Jem and the Holograms,Aubrey Peeples|Stefanie Scott|Aurora Perrineau|Hayley Kiyoko|Barnaby Carpenter,http://jemthemovie.com/,Jon M. Chu,Every Generation Needs a Voice.,secret identity|hologram|based on cartoon|based on tv series|rock band,"In a hyper-linked social media age, an orphaned teenage girl, Jerrica Jem Benton, becomes an online recording sensation, and she and her sisters embark on a music-driven scavenger hunt - one that sends them on an adventure across Los Angeles - in an attempt to unlock a final message left by her father.",119,Drama|Music|Adventure|Fantasy,Universal Pictures|Blumhouse Productions|Hasbro Studios|Allspark Pictures,2015-10-22,69,5.7,2015,4599997.976,2146988.33533,Universal Pictures
416,347754,tt3212904,0.248964,0,0,Curve,Julianne Hough|Teddy Sears|Madalyn Horcher|Drew Rausch|Penelope Mitchell,,Iain Softley,,hitchhiker|injured leg|car accident|trapped|car,A young woman becomes trapped in her car after a hitchhiker causes her to have an automobile accident.,86,Horror|Thriller,Universal Pictures|Blumhouse Productions|LBI Entertainment|Ombra Films,2015-08-31,40,4.4,2015,0.0,0.0,Universal Pictures
428,343934,tt3137764,0.242,0,0,Staten Island Summer,Graham Phillips|Zack Pearlman|Ashley Greene|Kate Walsh|Gina Gershon,,Rhys Thomas,No Regrets,summer|lifeguard|staten island new york city,Pals Danny and Frank spend the summer after high school working as lifeguards while figuring out their future.,108,Comedy,Paramount Pictures,2015-06-30,51,5.6,2015,0.0,0.0,Paramount Pictures
629,157336,tt0816692,24.949134,165000000,621752480,Interstellar,Matthew McConaughey|Jessica Chastain|Anne Hathaway|Michael Caine|Casey Affleck,http://www.interstellarmovie.net/,Christopher Nolan,Mankind was born on Earth. It was never meant to die here.,saving the world|artificial intelligence|father-son relationship|single parent|nasa,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,169,Adventure|Drama|Science Fiction,Paramount Pictures|Legendary Pictures|Warner Bros.|Syncopy|Lynda Obst Productions,2014-11-05,6498,8.0,2014,151980023.377,572690645.123,Paramount Pictures
644,240832,tt2872732,5.947136,40000000,463360063,Lucy,Scarlett Johansson|Morgan Freeman|Choi Min-sik|Amr Waked|Julian Rhind-Tutt,http://lucymovie.com/,Luc Besson,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,artificial intelligence|intelligence|drug mule|futuristic|drug,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",89,Action|Science Fiction,Universal Pictures|TF1 Films Production|Canal+|EuropaCorp|Ciné+,2014-07-14,3699,6.3,2014,36843642.0309,426796807.314,Universal Pictures
645,98566,tt1291150,5.787396,125000000,477200000,Teenage Mutant Ninja Turtles,Megan Fox|Will Arnett|William Fichtner|Alan Ritchson|Noel Fisher,http://www.teenagemutantninjaturtlesmovie.com,Jonathan Liebesman,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,martial arts|terrorist|subway|hero|mutation,The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.,101,Science Fiction|Action|Adventure|Fantasy|Comedy,Paramount Pictures|Nickelodeon Movies|Platinum Dunes,2014-08-07,1836,5.8,2014,115136381.346,439544649.428,Paramount Pictures
648,91314,tt2109248,4.983782,210000000,245500000,Transformers: Age of Extinction,Mark Wahlberg|Stanley Tucci|Nicola Peltz|Jack Reynor|Li Bingbing,http://www.transformersmovie.com,Michael Bay,This is not war. It's extinction.,sequel|alien|transformers|giant robot|robot,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",165,Science Fiction|Action|Adventure,Paramount Pictures|Amblin Entertainment|Di Bonaventura Pictures|Platinum Dunes|Hasbro,2014-06-25,2161,5.9,2014,193429120.662,226127852.964,Paramount Pictures
662,242512,tt1204977,3.489314,5000000,102529779,Ouija,Olivia Cooke|Ana Coto|Daren Kagasoff|Bianca A. Santos|Douglas Smith,,Stiles White,Keep telling yourself it's just a game,death of a friend|ouija|ouija board|teenager|based on board game,A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.,89,Horror,Universal Pictures|Platinum Dunes|Media Rights Capital|Hasbro|Blumhouse Productions,2014-10-24,569,4.9,2014,4605455.25386,94439261.8745,Universal Pictures
671,49017,tt0829150,3.028769,70000000,215529201,Dracula Untold,Luke Evans|Sarah Gadon|Dominic Cooper|Art Parkinson|Charles Dance,,Gary Shore,Every bloodline has a beginning,vampire|dracula|battle|15th century|ottoman empire,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, including Vlad's son, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula.",92,Horror|Action|Drama|Fantasy|War,Universal Pictures|Legendary Pictures|Fuji Television Network|Dentsu|Michael De Luca Productions,2014-10-01,1666,6.1,2014,64476373.554,198522018.221,Universal Pictures
681,238636,tt2975578,2.611251,9000000,108782847,The Purge: Anarchy,Frank Grillo|Carmen Ejogo|Zach Gilford|Kiele Sanchez|Zoë Borde,,James DeMonaco,"Welcome to America, where one night a year, all crime Is legal.",bus|assault rifle|sniper|machete|dystopia,"Three groups of people are trying to survive Purge Night, when their stories intertwine and are left stranded in The Purge trying to survive the chaos and violence that occurs.",104,Horror|Thriller,Universal Pictures|Why Not Productions|Platinum Dunes|Blumhouse Productions|5150 Action,2014-07-17,1126,6.6,2014,8289819.45694,100198906.849,Universal Pictures
685,184315,tt1267297,2.549403,100000000,243400000,Hercules,Dwayne Johnson|Ian McShane|John Hurt|Rufus Sewell|Aksel Hennie,,Brett Ratner,"Before he was a legend, he was a man.",mercenary|battle|ancient greece|hercules|warrior,"Fourteen hundred years ago, a tormented soul walked the earth that was neither man nor god. Hercules was the powerful son of the god king Zeus, for this he received nothing but suffering his entire life. After twelve arduous labors and the loss of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years he warmed to the company of six similar souls, their only bond being their love of fighting and presence of death. These men and woman never question where they go to fight or why or whom, just how much they will be paid. Now the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen when they must train an army to become as ruthless and blood thirsty as their reputation has become.",99,Action|Adventure,Paramount Pictures|Metro-Goldwyn-Mayer (MGM)|Radical Studios|Flynn Picture Company,2014-07-23,1215,5.6,2014,92109105.0771,224193561.758,Paramount Pictures
686,86834,tt1959490,2.526779,125000000,362637473,Noah,Russell Crowe|Jennifer Connelly|Emma Watson|Logan Lerman|Anthony Hopkins,http://www.noahmovie.com,Darren Aronofsky,The end of the world is just the beginning.,bible|god|noah,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,139,Drama|Adventure,Paramount Pictures|Regency Enterprises|Protozoa Pictures|Disruption Entertainment,2014-03-20,1589,5.5,2014,115136381.346,334022131.055,Paramount Pictures
690,195589,tt2004420,2.376309,18000000,268157400,Neighbors,Seth Rogen|Zac Efron|Rose Byrne|Dave Franco|Ike Barinholtz,,Nicholas Stoller,Family vs. Frat,alcohol|baby|party|family|fraternity,A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.,96,Comedy,Universal Pictures|Point Grey Pictures|Good Universe,2014-05-08,1829,6.2,2014,16579638.9139,246997381.338,Universal Pictures
696,168530,tt1408253,2.165462,25000000,153997819,Ride Along,Ice Cube|Kevin Hart|John Leguizamo|Bruce McGill|Tika Sumpter,,Tim Story,Propose to this cop's sister? Rookie mistake.,police operation|police officer|brother-in-law brother-in-law relationship|duringcreditsstinger|black men,"For the past two years, high-school security guard Ben has been trying to show decorated APD detective James that he's more than just a video-game junkie who's unworthy of James' sister, Angela. When Ben finally gets accepted into the academy, he thinks he's earned the seasoned policeman's respect and asks for his blessing to marry Angela. Knowing that a ride along will demonstrate if Ben has what it takes to take care of his sister, James invites him on a shift designed to scare the hell out of the trainee. But when the wild night leads them to the most notorious criminal in the city, James will find that his new partner's rapid-fire mouth is just as dangerous as the bullets speeding at it.",99,Action|Comedy,Universal Pictures|Rainforest Films|Cube Vision|Relativity Media,2014-01-17,634,6.1,2014,23027276.2693,141846012.919,Universal Pictures
699,137094,tt1205537,2.141491,60000000,50549107,Jack Ryan: Shadow Recruit,Chris Pine|Keira Knightley|Kevin Costner|Nonso Anozie|Gemma Chan,,Kenneth Branagh,Trust no one.,london|corruption|cia|terrorist|sniper,"Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",105,Action|Drama|Thriller,Paramount Pictures|Di Bonaventura Pictures|Mace Neufeld Productions|Skydance Productions|Etalon film,2014-01-15,873,5.9,2014,55265463.0463,46560330.0822,Paramount Pictures
713,100042,tt2096672,1.805954,40000000,169837010,Dumb and Dumber To,Jim Carrey|Jeff Daniels|Rachel Melvin|Kathleen Turner|Brady Bluhm,,Bobby Farrelly|Peter Farrelly,The Second Parts Are More Fools,friendship|sequel|road movie|buddy comedy,"20 years after the dimwits set out on their first adventure, they head out in search of one of their long lost children in the hope of gaining a new kidney.",110,Comedy,New Line Cinema|Universal Pictures|Conundrum Entertainment|Red Granite Pictures,2014-11-12,790,5.5,2014,36843642.0309,156435350.001,Universal Pictures
755,226857,tt2318092,1.077877,20000000,34077920,Endless Love,Alex Pettyfer|Gabriella Wilde|Robert Patrick|Rhys Wakefield|Emma Rigby,,Shana Feste,Say Goodbye to Innocence,woman director|teenage romance,"When beautiful Jade (Gabriella Wilde) meets charismatic David (Alex Pettyfer), her sheltered world of privilege is turned upside down as the pair's instant desire sparks a reckless summer love affair. While Jade leaves behind her inhibitions and innocence as she falls for David, he works to prove himself worthy of her love. But when David's mysterious past and Jade's overprotective father threaten to tear them apart, their romance will be put to the ultimate test.",103,Drama|Romance,Universal Pictures|Fake Empire|Bluegrass Films,2014-02-12,357,6.6,2014,18421821.0154,31388867.1409,Universal Pictures
840,284296,tt2784678,0.649574,0,25434291,Top Five,Chris Rock|Rosario Dawson|J.B. Smoove|Gabrielle Union|Romany Malco,http://www.topfivemovie.com/,Chris Rock,,comedian|interview|reporter|movie star|fiancé fiancée relationship,A comedian tries to make it as a serious actor when his reality-TV star fiancé talks him into broadcasting their wedding on her TV show.,102,Drama|Comedy,Paramount Pictures|IAC Film|Jax Media,2014-12-12,152,6.2,2014,0.0,23427297.8228,Paramount Pictures
871,243684,tt3179568,0.557453,0,461162,"Men, Women & Children",Rosemarie DeWitt|Jennifer Garner|Judy Greer|Dean Norris|Adam Sandler,,Jason Reitman,Discover how little you know about the people you know.,high school|teenager|playing against type,"Follows the story of a group of high school teenagers and their parents as they attempt to navigate the many ways the internet has changed their relationships, their communication, their self-image, and their love lives.",116,Drama|Comedy,Paramount Pictures|Right of Way Films,2014-10-17,248,6.4,2014,0.0,424772.191156,Paramount Pictures
877,227300,tt2494280,0.550197,0,0,Stretch,Patrick Wilson|Jessica Alba|Brooklyn Decker|Ray Liotta|Mindy Robinson,,Joe Carnahan,,,A hard-luck limo driver struggling to go straight and pay off a debt to his bookie takes on a job with a crazed passenger whose sought-after ledger implicates some seriously dangerous criminals.,94,Action|Comedy|Thriller,Universal Pictures|Blumhouse Productions|IM Global|Chambara Pictures,2014-10-14,163,5.8,2014,0.0,0.0,Universal Pictures
976,284536,tt2039393,0.350612,25000000,39171130,The Gambler,Mark Wahlberg|John Goodman|Brie Larson|Michael Kenneth Williams|Jessica Lange,http://www.thegamblermovie.com/,Rupert Wyatt,The only way out is all in,gambling|gun|professor|beating|gambler,Literature professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation is his relationship with one of his students. Will Bennett risk his life for a second chance?,111,Thriller|Crime|Drama,Paramount Pictures|Winkler Films,2014-12-25,405,5.6,2014,23027276.2693,36080177.2916,Paramount Pictures
1132,285423,tt3699508,0.189201,0,0,Jarhead 2: Field of Fire,Cole Hauser|Josh Kelly|Danielle Savre|Bokeem Woodbine|Ronny Jhutti,,Don Michael Paul,"Find the courage, fight together",marine corps|taliban|marines|u.s. marine,"Battle-scarred and disillusioned by the war, Corporal Chris Merrimette is put in charge of a unit whose next mission is to resupply a remote outpost on the edge of Taliban-controlled territory. While driving through the hostile Helmand province, a Navy SEAL flags down their convoy and enlists the unit on an operation of international importance: they must help an Afghan woman famous for her defiance of the Taliban escape the country. Without tanks or air support, Merrimette and his team will need all the courage and firepower they can muster to fight their way across the war-torn country and shepherd the woman to safety.",103,War|Action,Universal Pictures|UFO International Productions|Universal 1440 Entertainment,2014-08-14,59,5.4,2014,0.0,0.0,Universal Pictures
1198,260535,tt2490004,0.130097,8000000,0,The Little Rascals Save the Day,Drew Justice|Rio Mangini|Jenna Ortega|Eden Wood|Jet Jurgensmeyer,,Alex Zamm,All New Movie,,"The Little Rascals are back in an all-new movie! Join the fun with Spanky, Alfalfa, Darla, Buckwheat, Petey the dog and the whole gang as they are up to their usual mischief! The Rascals try anything to raise the money needed to save their grandma's (Doris Roberts) bakery. The only trouble is - they can't seem to do anything right! From botched pet washes to terrible taxi service, they just can't raise a penny. Their only hope is to win prize money from the local talent show - but have you ever heard Alfalfa sing?",93,Comedy,Universal Pictures|Capital Arts Entertainment,2014-03-25,16,5.4,2014,7368728.40617,0.0,Universal Pictures
1225,298931,tt4085696,0.097531,0,0,Billy Elliot: The Musical,Elliott Hanna|Ruthie Henshall|Deka Walmsley|Ann Emery|Chris Grahamson,http://billyelliotthemusical.com/live-in-cinemas/,Stephen Daldry|Brett Sullivan,,,A talented young dancer has to learn to fight for his dream despite social and parental disapproval.,163,Drama|Music|Comedy,Universal Pictures|Tiger Aspect Productions|Working Title Films|Universal Stage Productions|Old Vic Productions,2014-09-28,10,8.1,2014,0.0,0.0,Universal Pictures
1340,11009,tt0076666,0.602862,3500000,237113184,Saturday Night Fever,John Travolta|Karen Lynn Gorney|Barry Miller|Joseph Cali|Paul Pape,,John Badham,Catch it.,dancing master|dance performance|lover (female)|dancing scene|disco,"Nineteen-year-old Tony Manero lives for Saturday nights at the local disco, where he's king of the dance floor. But outside of the club, things don't look so rosy. At home, he fights constantly with his father and has to compete with his family's starry-eyed view of his older brother, a priest. Then, he meets Stephanie at the disco and they agree to dance together in a competition. Stephanie resists Tony's attempts to romance her, as she aspires to greater things; she is moving across the river to Manhattan. Gradually, Tony also becomes disillusioned with the life he is leading and he and Stephanie decide to help one another to start afresh",118,Drama|Music,Paramount Pictures|Robert Stigwood Organization (RSO),1977-12-16,192,6.3,1977,12592233.614,853081315.968,Paramount Pictures
